"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"SDShield";1;"RTC";;;
2;"J1";"arduino_mega_header";1;"Arduino_Mega_Header";;;
3;"U5";"ADC";1;"ADC";;;
4;"J2";"Pin_Header_Straight_1x10_Pitch2.54mm";1;"Conn_01x10";;;
5;"J3,J4,J7,J8,J6";"arduino_pin_socket_8";5;"Conn_01x08";;;
6;"J5";"Pin_Header_Straight_2x18_Pitch2.54mm";1;"Conn_02x18_Odd_Even";;;
7;"U1";"Nokia5110";1;"NOKIA5110";;;
8;"D3,D4,D5";"D_DO-15_P2.54mm_Vertical_AnodeUp";3;"LM4040";;;
9;"J9,J10,J11,J12,J13";"ScrewTerminal";5;"Screw_Terminal_01x03";;;
10;"R5,R14";"R-C-L-D";2;"200k";;;
11;"R6";"R-C-L-D";1;"51k";;;
12;"R7,R15";"R-C-L-D";2;"47k";;;
13;"R8,R12,R16,R4";"R-C-L-D";4;"100k";;;
14;"R9,R20,R3";"R-C-L-D";3;"22k";;;
15;"R10,R11,R18,R23";"R-C-L-D";4;"10k";;;
16;"R13,R19";"R-C-L-D";2;"50k";;;
17;"R17";"R-C-L-D";1;"270k";;;
18;"R21";"R-C-L-D";1;"1k";;;
19;"R22";"R-C-L-D";1;"330";;;
20;"U4";"DIP-16_W7.62mm";1;"ADG408";;;
21;"IC1";"DIP-16_W7.62mm";1;"MAX743CWE+";;;
22;"C1,C5";"Cap";2;"0.01uF";;;
23;"C2";"Cap";1;"0.1uF";;;
24;"C3";"Cap";1;"10uF";;;
25;"C4";"Cap";1;"1uFC";;;
26;"C6,C7,C11,C12,C13,C14,C15,C16,C17,C18,C19";"Cap";11;"100nF";;;
27;"C8,C9,C10";"Cap";3;"100uF";;;
28;"D1,D2";"R-C-L-D";2;"D_Schottky";;;
29;"L1,L2";"R-C-L-D";2;"100uH";;;
30;"R1";"R-C-L-D";1;"68k";;;
31;"R2";"R-C-L-D";1;"18k";;;
32;"U6,U7,U8,U9,U10";"DIP-8_W7.62mm";5;"LM358";;;
33;"U11";"DAC";1;"DAC";;;
34;"U12";"DIP-8_W7.62mm";1;"DG419";;;
35;"U3";"SDShield";1;"SDshield";;;
36;"J14";"Pin_Header_Straight_1x05_Pitch2.54mm";1;"Conn_01x05";;;
